8.75	bark
8.76	sap
8.81	palm tree
8.82	coconut
8.83	citrus fruit
8.84	banana tree
8.85	banyan
8.91	sweet potato
8.912	yam
8.92	tapioca, manioc, cassava
8.93	gourd
8.931	pumpkin, squash
8.94	bamboo
8.941	sugar cane
8.96	fish poison (root)
8.97	nettle
8.98	mushroom
9.11	do, make
9.12	work
9.14	bend
9.15	fold
9.16	tie, bind
9.161	untie
9.18	chain
9.19	rope, cord
9.192	knot (noun)
9.21	strike (hit, beat)
9.211	pound with fist
9.22	cut
9.221	cut down
9.222	chop, hew
9.223	stab
9.23	knife
9.24	scissors, shears
9.25	ax
9.251	adze
9.26	break
9.261	broken
9.27	split
9.28	tear
9.29	flay, skin
9.31	rub, wipe
9.32	stretch
9.33	pull
9.34	spread out
9.341	hang up
9.342	press
9.343	squeeze, wring
9.35	pour
9.36	wash
9.37	sweep
9.38	broom
9.422	tool
9.43	carpenter
9.44	build
9.46	bore
9.461	hollow out
9.48	saw
9.49	hammer
9.5	nail
9.56	glue
9.6	smith, blacksmith
9.61	forge
9.62	anvil
9.63	cast (metals)
9.64	gold
9.65	silver
9.66	copper, bronze
9.67	iron
9.68	lead (noun)
9.69	tin, tinplate
9.71	potter
9.72	mold (clay etc)
9.73	clay
9.74	glass
9.75	weave, plait
9.76	basket
9.77	mat
9.771	rug
9.78	netbag
9.79	fan (noun)
9.791	fan (vb)
9.81	carve
9.82	sculptor
9.83	statue
9.84	chisel
9.88	paint (noun)
9.89	paint (vb)
10.11	move
10.12	turn over
10.13	turn around
10.14	wind, wrap
10.15	roll
10.16	drop (vb)
10.17	twist
10.21	rise
10.22	raise, lift
10.23	fall
10.24	drip
10.25	throw
10.252	catch (ball)
10.26	shake
10.32	flow
10.33	sink
10.34	float
10.35	swim
10.351	dive
10.352	splash
10.36	sail (vb)
10.37	fly (vb)
10.38	blow
10.41	creep, crawl
10.412	kneel
10.413	crouch
10.42	slide, slip
10.43	jump, leap
10.431	kick
10.44	dance
10.45	walk
10.451	limp
10.46	run
10.47	go
10.471	go up
10.472	climb
10.473	go down
10.474	go out
10.48	come
